0,1,2,3,4,5,6,7
1.794,uf,21 - 59 m² útiles,1 - 4 privados,1 - 2 baños,"hochstetter 1002 esq. o'higgins, temuco",venta,oficinas
2.878,uf,34 - 93 m² útiles,1 privado,1 baño,"av. alemania 0999, estadio germán becker, temuco",venta,oficinas
2.560,uf,"30 - 5,815 m² útiles",1 baño,"av. la dehesa 222, la dehesa, lo barnechea",venta,oficinas,
1.701,uf,22 - 59 m² útiles,1 - 2 privados,1 baño,"arturo prat 1756, parque o'higgins, santiago",venta,oficinas
2.548,uf,21 - 36 m² útiles,1 - 3 privados,1 baño,"av. américo vespucio 291, ñuñoa",venta,oficinas
1.450,uf,20 - 70 m² útiles,1 - 3 privados,1 - 3 baños,"san martín 924, temuco",venta,oficinas
2.685,uf,29 - 59 m² útiles,1 privado,1 baño,"raúl labbé 12650, la dehesa, lo barnechea",venta,oficinas
11.412,uf,215 m² útiles,3 dormitorios,2 baños,"general ordóñez 155, maipú",venta,oficinas
3.677,uf,26 - 46 m² útiles,1 - 3 dormitorios,1 baño,"av. las condes 10800, tabancura, vitacura",venta,oficinas
1.454,uf,19 - 29 m² útiles,1 privado,1 baño,"o'higgins 1065, centro de talagante, talagante",venta,oficinas
2.590,uf,20 - 45 m² útiles,1 - 2 privados,1 - 2 baños,"evaristo lillo 163, metro escuela militar, las condes",venta,oficinas
2.084,uf,22 - 31 m² útiles,1 baño,"reñaca norte 295, reñaca, viña del mar",venta,oficinas,
2.038,uf,24 - 60 m² útiles,1 - 3 privados,1 baño,"18 de septiembre 246, centro de chillán, chillán",venta,oficinas
2.640,uf,24 - 34 m² útiles,1 privado,1 baño,"condell 1166, barrio italia, providencia",venta,oficinas
2.568,uf,41 - 54 m² útiles,1 - 2 privados,2 baños,"aldunate 719, temuco",venta,oficinas
